,SC,VEC
2,0.5621066518863819,0.5621142810957411
3,0.5620710965824951,0.5620922352632455
4,0.5620509109332154,0.5620850672505887
5,0.5620751363682761,0.5620996849456702
6,0.5620719826340309,0.5621070252303676
7,0.5620508138050824,0.5621266655498159
8,0.5620672484418373,0.5621107266886342
9,0.5620716879825978,0.5621378887640887
10,0.5620850953540671,0.5621433103245984
11,0.5620513693071382,0.5621094697579407
12,0.5620949918850489,0.5621134311719258
13,0.5620818881218163,0.562116800596128
14,0.5620846919763818,0.5621452806725443
15,0.5620863230998939,0.5621022017433998
16,0.5620816772784267,0.5621232591301405
17,0.5621031326444649,0.5620929365106418
18,0.5620922563802608,0.5621215259304788
19,0.562136370921885,0.562046483136649
20,0.5620980391049075,0.5621129585539374
